from_lat,from_long,to_lat,to_long
60.546848,-145.761041,60.546848,-145.761041
60.543756,-145.760985,60.546848,-145.761041
60.543756,-145.760985,60.540457,-145.741037
60.543756,-145.760985,60.54054,-145.7409
60.546626,-145.758652,60.541412,-145.757476
60.541412,-145.757476,60.539322,-145.753094
60.539322,-145.753094,60.539322,-145.753094
60.539322,-145.753094,60.539322,-145.753094
60.539322,-145.753094,60.5405,-145.741037
60.5405,-145.741037,60.54054,-145.740904
60.537332,-145.666187,60.531245,-145.647593
60.531245,-145.647593,60.527245,-145.627593
60.527245,-145.627593,60.535957,-145.658961
60.535957,-145.658961,60.537257,-145.659961
60.537257,-145.659961,60.538594,-145.706188
60.538594,-145.706188,60.539483,-145.73447
60.539483,-145.73447,60.539483,-145.73447
60.539483,-145.73447,60.5405,-145.741037
60.5405,-145.741037,60.54054,-145.740904
60.539322,-145.753094,60.535159,-145.773058
60.535159,-145.773058,60.532345,-145.778623
60.532345,-145.778623,60.527345,-145.781623
60.527345,-145.781623,60.524323,-145.784216
60.597869,-145.663727,60.556121,-145.753738
60.556121,-145.753738,60.54054,-145.740904
60.556121,-145.753738,60.55604,-145.7538
60.55604,-145.7538,60.54728,-145.763625
60.54875,-145.763994,60.54728,-145.763625
60.54875,-145.763994,60.550438,-145.760331
60.543419,-145.752657,60.544636,-145.757055
60.542419,-145.752657,60.543419,-145.752657
60.54319,-145.74179,60.542419,-145.752657
60.54319,-145.74179,60.54319,-145.74179
60.5405,-145.741037,60.54319,-145.74179
60.54054,-145.740904,60.5405,-145.741037
60.547613,-145.765318,60.546848,-145.761041
60.55604,-145.7538,60.54728,-145.763625
60.54875,-145.763994,60.54728,-145.763625
60.54875,-145.763994,60.550438,-145.760331
60.544636,-145.757055,60.543419,-145.752657
60.542419,-145.752657,60.543419,-145.752657
60.542419,-145.752657,60.54319,-145.74179
60.54319,-145.74179,60.54319,-145.74179
60.54319,-145.74179,60.5405,-145.741037
60.5405,-145.741037,60.54054,-145.740904
60.583697,-145.630038,60.54054,-145.740904
